DATE-TIME;COUNT
01/05/2021 00:00;23
01/05/2021 01:00;17
01/05/2021 02:00;17
01/05/2021 03:00;26
01/05/2021 04:00;6
01/05/2021 05:00;4
01/05/2021 06:00;7
01/05/2021 07:00;26
01/05/2021 08:00;51
01/05/2021 09:00;60
01/05/2021 10:00;54
01/05/2021 11:00;73
01/05/2021 12:00;68
01/05/2021 13:00;55
01/05/2021 14:00;42
01/05/2021 15:00;60
01/05/2021 16:00;55
01/05/2021 17:00;50
01/05/2021 18:00;48
01/05/2021 19:00;33
01/05/2021 20:00;32
01/05/2021 21:00;19
01/05/2021 22:00;46
01/05/2021 23:00;42
02/05/2021 00:00;43
02/05/2021 01:00;41
02/05/2021 02:00;31
02/05/2021 03:00;11
02/05/2021 04:00;4
02/05/2021 05:00;7
02/05/2021 06:00;7
02/05/2021 07:00;20
02/05/2021 08:00;28
02/05/2021 09:00;43
02/05/2021 10:00;37
02/05/2021 11:00;46
02/05/2021 12:00;36
02/05/2021 13:00;31
02/05/2021 14:00;28
02/05/2021 15:00;38
02/05/2021 16:00;27
02/05/2021 17:00;43
02/05/2021 18:00;36
02/05/2021 19:00;25
02/05/2021 20:00;17
02/05/2021 21:00;6
02/05/2021 22:00;4
02/05/2021 23:00;3
03/05/2021 00:00;2
03/05/2021 02:00;1
03/05/2021 04:00;1
03/05/2021 05:00;3
03/05/2021 06:00;12
03/05/2021 07:00;21
03/05/2021 08:00;30
03/05/2021 09:00;41
03/05/2021 10:00;28
03/05/2021 11:00;31
03/05/2021 12:00;38
03/05/2021 13:00;36
03/05/2021 14:00;27
03/05/2021 15:00;31
03/05/2021 16:00;24
03/05/2021 17:00;30
03/05/2021 18:00;22
03/05/2021 19:00;13
03/05/2021 20:00;15
03/05/2021 21:00;8
03/05/2021 22:00;7
03/05/2021 23:00;4
04/05/2021 00:00;4
04/05/2021 01:00;2
04/05/2021 06:00;19
04/05/2021 07:00;19
04/05/2021 08:00;39
04/05/2021 09:00;31
04/05/2021 10:00;40
04/05/2021 11:00;40
04/05/2021 12:00;29
04/05/2021 13:00;22
04/05/2021 14:00;28
04/05/2021 15:00;39
04/05/2021 16:00;24
04/05/2021 17:00;36
04/05/2021 18:00;25
04/05/2021 19:00;20
04/05/2021 20:00;14
04/05/2021 21:00;7
04/05/2021 22:00;5
04/05/2021 23:00;4
05/05/2021 00:00;2
05/05/2021 01:00;1
05/05/2021 03:00;1
05/05/2021 05:00;1
05/05/2021 06:00;12
05/05/2021 07:00;35
05/05/2021 08:00;27
05/05/2021 09:00;34
05/05/2021 10:00;34
05/05/2021 11:00;53
05/05/2021 12:00;41
05/05/2021 13:00;39
05/05/2021 14:00;42
05/05/2021 15:00;51
05/05/2021 16:00;36
05/05/2021 17:00;36
05/05/2021 18:00;54
05/05/2021 19:00;31
05/05/2021 20:00;25
05/05/2021 21:00;13
05/05/2021 22:00;6
05/05/2021 23:00;7
06/05/2021 00:00;3
06/05/2021 02:00;1
06/05/2021 03:00;1
06/05/2021 05:00;2
06/05/2021 06:00;8
06/05/2021 07:00;25
06/05/2021 08:00;42
06/05/2021 09:00;43
06/05/2021 10:00;43
06/05/2021 11:00;48
06/05/2021 12:00;59
06/05/2021 13:00;47
06/05/2021 14:00;46
06/05/2021 15:00;57
06/05/2021 16:00;42
06/05/2021 17:00;43
06/05/2021 18:00;49
06/05/2021 19:00;37
06/05/2021 20:00;33
06/05/2021 21:00;33
06/05/2021 22:00;21
06/05/2021 23:00;6
07/05/2021 00:00;6
07/05/2021 01:00;5
07/05/2021 02:00;7
07/05/2021 03:00;2
07/05/2021 04:00;1
07/05/2021 05:00;3
07/05/2021 06:00;11
07/05/2021 07:00;27
07/05/2021 08:00;53
07/05/2021 09:00;88
07/05/2021 10:00;69
07/05/2021 11:00;70
07/05/2021 12:00;97
07/05/2021 13:00;72
07/05/2021 14:00;85
07/05/2021 15:00;64
07/05/2021 16:00;36
07/05/2021 17:00;58
07/05/2021 18:00;46
07/05/2021 19:00;41
07/05/2021 20:00;36
07/05/2021 21:00;26
07/05/2021 22:00;25
07/05/2021 23:00;49
08/05/2021 00:00;25
08/05/2021 01:00;22
08/05/2021 02:00;16
08/05/2021 03:00;19
08/05/2021 04:00;10
08/05/2021 05:00;4
08/05/2021 06:00;16
08/05/2021 07:00;14
08/05/2021 08:00;27
08/05/2021 09:00;56
08/05/2021 10:00;45
08/05/2021 11:00;51
08/05/2021 12:00;56
08/05/2021 13:00;48
08/05/2021 14:00;60
08/05/2021 15:00;65
08/05/2021 16:00;45
08/05/2021 17:00;36
08/05/2021 18:00;28
08/05/2021 19:00;28
08/05/2021 20:00;22
08/05/2021 21:00;33
08/05/2021 22:00;36
08/05/2021 23:00;23
09/05/2021 00:00;40
09/05/2021 01:00;41
09/05/2021 02:00;31
09/05/2021 03:00;11
09/05/2021 04:00;8
09/05/2021 05:00;2
09/05/2021 06:00;8
09/05/2021 07:00;20
09/05/2021 08:00;26
09/05/2021 09:00;42
09/05/2021 10:00;47
09/05/2021 11:00;56
09/05/2021 12:00;56
09/05/2021 13:00;49
09/05/2021 14:00;38
09/05/2021 15:00;55
09/05/2021 16:00;44
09/05/2021 17:00;42
09/05/2021 18:00;41
09/05/2021 19:00;29
09/05/2021 20:00;20
09/05/2021 21:00;13
09/05/2021 22:00;9
09/05/2021 23:00;6
10/05/2021 01:00;1
10/05/2021 03:00;1
10/05/2021 04:00;1
10/05/2021 05:00;2
10/05/2021 06:00;14
10/05/2021 07:00;26
10/05/2021 08:00;36
10/05/2021 09:00;46
10/05/2021 10:00;36
10/05/2021 11:00;56
10/05/2021 12:00;46
10/05/2021 13:00;58
10/05/2021 14:00;59
10/05/2021 15:00;52
10/05/2021 16:00;40
10/05/2021 17:00;36
10/05/2021 18:00;33
10/05/2021 19:00;18
10/05/2021 20:00;14
10/05/2021 21:00;11
10/05/2021 22:00;8
10/05/2021 23:00;3
11/05/2021 00:00;2
11/05/2021 01:00;1
11/05/2021 03:00;3
11/05/2021 04:00;2
11/05/2021 05:00;3
11/05/2021 06:00;17
11/05/2021 07:00;27
11/05/2021 08:00;37
11/05/2021 09:00;49
11/05/2021 10:00;40
11/05/2021 11:00;49
11/05/2021 12:00;43
11/05/2021 13:00;43
11/05/2021 14:00;35
11/05/2021 15:00;51
11/05/2021 16:00;38
11/05/2021 17:00;37
11/05/2021 18:00;53
11/05/2021 19:00;34
11/05/2021 20:00;21
11/05/2021 21:00;15
11/05/2021 22:00;8
11/05/2021 23:00;2
12/05/2021 00:00;3
12/05/2021 01:00;1
12/05/2021 02:00;1
12/05/2021 03:00;1
12/05/2021 04:00;1
12/05/2021 05:00;2
12/05/2021 06:00;23
12/05/2021 07:00;35
12/05/2021 08:00;36
12/05/2021 09:00;42
12/05/2021 10:00;36
12/05/2021 11:00;42
12/05/2021 12:00;55
12/05/2021 13:00;44
12/05/2021 14:00;53
12/05/2021 15:00;43
12/05/2021 16:00;52
12/05/2021 17:00;44
12/05/2021 18:00;38
12/05/2021 19:00;29
12/05/2021 20:00;22
12/05/2021 21:00;18
12/05/2021 22:00;19
12/05/2021 23:00;26
13/05/2021 00:00;24
13/05/2021 01:00;33
13/05/2021 02:00;26
13/05/2021 03:00;14
13/05/2021 04:00;2
13/05/2021 06:00;9
13/05/2021 07:00;23
13/05/2021 08:00;36
13/05/2021 09:00;27
13/05/2021 10:00;42
13/05/2021 11:00;41
13/05/2021 12:00;41
13/05/2021 13:00;37
13/05/2021 14:00;52
13/05/2021 15:00;44
13/05/2021 16:00;52
13/05/2021 17:00;42
13/05/2021 18:00;55
13/05/2021 19:00;39
13/05/2021 20:00;27
13/05/2021 21:00;15
13/05/2021 22:00;13
13/05/2021 23:00;10
14/05/2021 00:00;6
14/05/2021 01:00;7
14/05/2021 02:00;5
14/05/2021 03:00;2
14/05/2021 04:00;1
14/05/2021 05:00;4
14/05/2021 06:00;17
14/05/2021 07:00;28
14/05/2021 08:00;46
14/05/2021 09:00;58
14/05/2021 10:00;48
14/05/2021 11:00;60
14/05/2021 12:00;55
14/05/2021 13:00;59
14/05/2021 14:00;52
14/05/2021 15:00;67
14/05/2021 16:00;38
14/05/2021 17:00;76
14/05/2021 18:00;54
14/05/2021 19:00;40
14/05/2021 20:00;27
14/05/2021 21:00;24
14/05/2021 22:00;31
14/05/2021 23:00;15
15/05/2021 00:00;24
15/05/2021 01:00;22
15/05/2021 02:00;26
15/05/2021 03:00;12
15/05/2021 05:00;2
15/05/2021 06:00;12
15/05/2021 07:00;25
15/05/2021 08:00;42
15/05/2021 09:00;57
15/05/2021 10:00;60
15/05/2021 11:00;58
15/05/2021 12:00;48
15/05/2021 13:00;43
15/05/2021 14:00;41
15/05/2021 15:00;53
15/05/2021 16:00;35
15/05/2021 17:00;53
15/05/2021 18:00;41
15/05/2021 19:00;32
15/05/2021 20:00;22
15/05/2021 21:00;21
15/05/2021 22:00;14
15/05/2021 23:00;21
16/05/2021 00:00;9
16/05/2021 01:00;9
16/05/2021 02:00;1
16/05/2021 03:00;3
16/05/2021 04:00;2
16/05/2021 05:00;4
16/05/2021 06:00;6
16/05/2021 07:00;13
16/05/2021 08:00;18
16/05/2021 09:00;40
16/05/2021 10:00;40
16/05/2021 11:00;30
16/05/2021 12:00;38
16/05/2021 13:00;24
16/05/2021 14:00;22
16/05/2021 15:00;20
16/05/2021 16:00;21
16/05/2021 17:00;27
16/05/2021 18:00;19
16/05/2021 19:00;19
16/05/2021 20:00;15
16/05/2021 21:00;10
16/05/2021 22:00;3
16/05/2021 23:00;4
17/05/2021 00:00;4
17/05/2021 01:00;2
17/05/2021 02:00;1
17/05/2021 03:00;1
17/05/2021 05:00;1
17/05/2021 06:00;5
17/05/2021 07:00;19
17/05/2021 08:00;27
17/05/2021 09:00;38
17/05/2021 10:00;43
17/05/2021 11:00;37
17/05/2021 12:00;43
17/05/2021 13:00;42
17/05/2021 14:00;38
17/05/2021 15:00;42
17/05/2021 16:00;43
17/05/2021 17:00;40
17/05/2021 18:00;34
17/05/2021 19:00;22
17/05/2021 20:00;15
17/05/2021 21:00;7
17/05/2021 22:00;4
17/05/2021 23:00;2
18/05/2021 01:00;1
18/05/2021 05:00;1
18/05/2021 06:00;13
18/05/2021 07:00;24
18/05/2021 08:00;39
18/05/2021 09:00;36
18/05/2021 10:00;39
18/05/2021 11:00;41
18/05/2021 12:00;37
18/05/2021 13:00;35
18/05/2021 14:00;24
18/05/2021 15:00;33
18/05/2021 16:00;47
18/05/2021 17:00;36
18/05/2021 18:00;45
18/05/2021 19:00;35
18/05/2021 20:00;20
18/05/2021 21:00;11
18/05/2021 22:00;7
18/05/2021 23:00;4
19/05/2021 00:00;1
19/05/2021 02:00;1
19/05/2021 03:00;1
19/05/2021 04:00;1
19/05/2021 05:00;4
19/05/2021 06:00;17
19/05/2021 07:00;30
19/05/2021 08:00;30
19/05/2021 09:00;34
19/05/2021 10:00;40
19/05/2021 11:00;33
19/05/2021 12:00;35
19/05/2021 13:00;26
19/05/2021 14:00;38
19/05/2021 15:00;33
19/05/2021 16:00;34
19/05/2021 17:00;35
19/05/2021 18:00;39
19/05/2021 19:00;31
19/05/2021 20:00;20
19/05/2021 21:00;11
19/05/2021 22:00;9
19/05/2021 23:00;5
20/05/2021 00:00;1
20/05/2021 02:00;1
20/05/2021 03:00;1
20/05/2021 04:00;2
20/05/2021 05:00;2
20/05/2021 06:00;14
20/05/2021 07:00;28
20/05/2021 08:00;40
20/05/2021 09:00;50
20/05/2021 10:00;46
20/05/2021 11:00;48
20/05/2021 12:00;39
20/05/2021 13:00;43
20/05/2021 14:00;24
20/05/2021 15:00;38
20/05/2021 16:00;34
20/05/2021 17:00;25
20/05/2021 18:00;29
20/05/2021 19:00;29
20/05/2021 20:00;19
20/05/2021 21:00;16
20/05/2021 22:00;10
20/05/2021 23:00;3
21/05/2021 00:00;1
21/05/2021 02:00;1
21/05/2021 03:00;2
21/05/2021 05:00;1
21/05/2021 06:00;8
21/05/2021 07:00;23
21/05/2021 08:00;38
21/05/2021 09:00;53
21/05/2021 10:00;47
21/05/2021 11:00;48
21/05/2021 12:00;67
21/05/2021 13:00;37
21/05/2021 14:00;27
21/05/2021 15:00;44
21/05/2021 16:00;22
21/05/2021 17:00;43
21/05/2021 18:00;56
21/05/2021 19:00;38
21/05/2021 20:00;36
21/05/2021 21:00;22
21/05/2021 22:00;23
21/05/2021 23:00;24
22/05/2021 00:00;23
22/05/2021 01:00;29
22/05/2021 02:00;26
22/05/2021 03:00;10
22/05/2021 04:00;4
22/05/2021 05:00;7
22/05/2021 06:00;9
22/05/2021 07:00;15
22/05/2021 08:00;24
22/05/2021 09:00;41
22/05/2021 10:00;35
22/05/2021 11:00;35
22/05/2021 12:00;43
22/05/2021 13:00;47
22/05/2021 14:00;46
22/05/2021 15:00;53
22/05/2021 16:00;41
22/05/2021 17:00;55
22/05/2021 18:00;60
22/05/2021 19:00;44
22/05/2021 20:00;24
22/05/2021 21:00;23
22/05/2021 22:00;26
22/05/2021 23:00;20
23/05/2021 00:00;17
23/05/2021 01:00;21
23/05/2021 02:00;10
23/05/2021 03:00;6
23/05/2021 04:00;2
23/05/2021 05:00;3
23/05/2021 06:00;6
23/05/2021 07:00;16
23/05/2021 08:00;31
23/05/2021 09:00;55
23/05/2021 10:00;59
23/05/2021 11:00;60
23/05/2021 12:00;82
23/05/2021 13:00;59
23/05/2021 14:00;48
23/05/2021 15:00;67
23/05/2021 16:00;32
23/05/2021 17:00;41
23/05/2021 18:00;36
23/05/2021 19:00;16
23/05/2021 20:00;16
23/05/2021 21:00;11
23/05/2021 22:00;9
23/05/2021 23:00;12
24/05/2021 00:00;6
24/05/2021 01:00;5
24/05/2021 02:00;9
24/05/2021 03:00;5
24/05/2021 06:00;5
24/05/2021 07:00;17
24/05/2021 08:00;35
24/05/2021 09:00;61
24/05/2021 10:00;67
24/05/2021 11:00;54
24/05/2021 12:00;44
24/05/2021 13:00;49
24/05/2021 14:00;34
24/05/2021 15:00;32
24/05/2021 16:00;25
24/05/2021 17:00;14
24/05/2021 18:00;24
24/05/2021 19:00;25
24/05/2021 20:00;13
24/05/2021 21:00;10
24/05/2021 22:00;4
24/05/2021 23:00;2
25/05/2021 02:00;2
25/05/2021 06:00;6
25/05/2021 07:00;26
25/05/2021 08:00;41
25/05/2021 09:00;39
25/05/2021 10:00;43
25/05/2021 11:00;46
25/05/2021 12:00;53
25/05/2021 13:00;36
25/05/2021 14:00;30
25/05/2021 15:00;38
25/05/2021 16:00;21
25/05/2021 17:00;25
25/05/2021 18:00;29
25/05/2021 19:00;19
25/05/2021 20:00;19
25/05/2021 21:00;9
25/05/2021 22:00;8
25/05/2021 23:00;3
26/05/2021 00:00;1
26/05/2021 01:00;1
26/05/2021 02:00;1
26/05/2021 06:00;13
26/05/2021 07:00;29
26/05/2021 08:00;43
26/05/2021 09:00;39
26/05/2021 10:00;32
26/05/2021 11:00;37
26/05/2021 12:00;51
26/05/2021 13:00;53
26/05/2021 14:00;39
26/05/2021 15:00;40
26/05/2021 16:00;21
26/05/2021 17:00;29
26/05/2021 18:00;27
26/05/2021 19:00;16
26/05/2021 20:00;14
26/05/2021 21:00;15
26/05/2021 22:00;4
26/05/2021 23:00;3
27/05/2021 02:00;2
27/05/2021 06:00;10
27/05/2021 07:00;28
27/05/2021 08:00;44
27/05/2021 09:00;45
27/05/2021 10:00;45
27/05/2021 11:00;52
27/05/2021 12:00;68
27/05/2021 13:00;45
27/05/2021 14:00;39
27/05/2021 15:00;44
27/05/2021 16:00;19
27/05/2021 17:00;27
27/05/2021 18:00;37
27/05/2021 19:00;36
27/05/2021 20:00;26
27/05/2021 21:00;11
27/05/2021 22:00;14
27/05/2021 23:00;4
28/05/2021 00:00;4
28/05/2021 01:00;2
28/05/2021 02:00;3
28/05/2021 04:00;2
28/05/2021 05:00;2
28/05/2021 06:00;14
28/05/2021 07:00;24
28/05/2021 08:00;25
28/05/2021 09:00;44
28/05/2021 10:00;45
28/05/2021 11:00;44
28/05/2021 12:00;47
28/05/2021 13:00;37
28/05/2021 14:00;38
28/05/2021 15:00;39
28/05/2021 16:00;35
28/05/2021 17:00;44
28/05/2021 18:00;44
28/05/2021 19:00;19
28/05/2021 20:00;23
28/05/2021 21:00;13
28/05/2021 22:00;8
28/05/2021 23:00;16
29/05/2021 00:00;10
29/05/2021 01:00;20
29/05/2021 02:00;26
29/05/2021 03:00;8
29/05/2021 05:00;1
29/05/2021 06:00;4
29/05/2021 07:00;13
29/05/2021 08:00;26
29/05/2021 09:00;38
29/05/2021 10:00;38
29/05/2021 11:00;37
29/05/2021 12:00;36
29/05/2021 13:00;33
29/05/2021 14:00;39
29/05/2021 15:00;36
29/05/2021 16:00;63
29/05/2021 17:00;78
29/05/2021 18:00;68
29/05/2021 19:00;43
29/05/2021 20:00;27
29/05/2021 21:00;29
29/05/2021 22:00;27
29/05/2021 23:00;23
30/05/2021 00:00;18
30/05/2021 01:00;22
30/05/2021 02:00;16
30/05/2021 03:00;5
30/05/2021 04:00;5
30/05/2021 05:00;7
30/05/2021 06:00;8
30/05/2021 07:00;24
30/05/2021 08:00;42
30/05/2021 09:00;55
30/05/2021 10:00;52
30/05/2021 11:00;59
30/05/2021 12:00;40
30/05/2021 13:00;41
30/05/2021 14:00;49
30/05/2021 15:00;45
30/05/2021 16:00;31
30/05/2021 17:00;36
30/05/2021 18:00;27
30/05/2021 19:00;18
30/05/2021 20:00;9
30/05/2021 21:00;6
30/05/2021 22:00;9
30/05/2021 23:00;4
31/05/2021 00:00;1
31/05/2021 01:00;1
31/05/2021 05:00;2
31/05/2021 06:00;14
31/05/2021 07:00;27
31/05/2021 08:00;22
31/05/2021 09:00;44
31/05/2021 10:00;38
31/05/2021 11:00;38
31/05/2021 12:00;51
31/05/2021 13:00;32
31/05/2021 14:00;34
31/05/2021 15:00;48
31/05/2021 16:00;46
31/05/2021 17:00;43
31/05/2021 18:00;29
31/05/2021 19:00;29
31/05/2021 20:00;10
31/05/2021 21:00;11
31/05/2021 22:00;4
